item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q106975980,Gabriela Servilia Jiménez Ramírez,Q114606460,Minister of Science and Technology,2019-06-06,,734,,Q106975980-EEF0BF86-7E03-48F4-B033-4277FF5AF5EE
Q107030818,Hipólito Antonio Abreu Paéz,Q114606298,Minister of Industries and National Production,2022-05-16,,734,,Q107030818-9D384BA9-D430-4678-A7C8-6C620CDA3D36
Q109017878,Maj.-Gen. Carlos Augusto Leal Tellería,Q16607785,Minister of Food,2019-04-15,,734,,Q109017878-571A0440-128C-44FE-A7E9-426F23A70B8F
Q109044864,Mervin Maldonado,Q114606486,Vice-President of Social and Territorial Development and Minister of Youth and Sport,2020-09-04,,734,,Q109044864-1A676157-6DC2-43E6-A82C-6E479F233807
Q109671346,Dheliz Álvarez,Q114606583,Minister of Commerce,2021-10-19,,734,,Q109671346-8F5A3361-7AAA-4757-A574-437671BB3634
Q110992142,Diva Guzmán,Q114606493,Minister of Women’s Affairs and Gender Equality,2022-02-09,,734,,Q110992142-327E72AA-EDC3-411C-B824-78481AF720FE
Q111208069,Clara Vidal,Q114606519,Minister of Indigenous Peoples,2022-02-09,,734,,Q111208069-510B8FC7-51EF-4A93-A58F-A1407EF19CF6
Q113090321,Juan Carlos Loyo Hernandéz,Q114605062,Minister of Fisheries and Aquaculture,2022-04-22,,734,,Q113090321-70D12441-0B4B-4731-B1B0-D0524CE0E920
Q113548777,Carlos Rafael Faria Tortosa,Q113470515,Minister of Foreign Affairs,2022-05-17,,734,,Q113548777-dc1741f4-4e53-2368-3628-75caedf5a594
Q114605662,Raúl Alfonzo Paredes,Q114606270,Minister of Public Works,2018-06-14,,734,,Q114605662-BDACD125-E138-46E0-823D-D5400CAE5684
Q114606662,Alí Padrón Paredes,Q114606400,Minister of Tourism,2020-10-25,,734,,Q114606662-447A405C-04F5-4AEB-AB9D-0C7461322A47
Q114606663,Greicys Barrios Prada,Q114606534,Minister of Urban Agriculture,2020-09-04,,734,,Q114606663-3E9BCD5F-5AC6-4345-850C-71174E196CEA
Q114606664,Ildemaro Moisés Villarroel Arismendi,Q114606335,Minister of Habitat and Housing,2017-11-26,,734,,Q114606664-8D450111-272B-4F96-889B-36A51597C3B9
Q114606665,Josué Alejandro Lorca Vega,Q114606369,Minister of Ecosocialism,2021-04-22,,734,,Q114606665-733E3415-059E-41D3-BEEC-9ABA7BA15553
Q114606666,Magaly Gutiérrez Viña,Q114606504,Minister of Health,2022-02-09,,734,,Q114606666-0B55279D-47F4-4B2D-9A42-0F4A5215DBAC
Q114606668,Mirelys Zulay Contreras Moreno,Q114606392,Minister of the Penitentiary Service,2020-09-04,,734,,Q114606668-B89CC71D-F6EC-4073-97D2-7C5044635C56
Q15081116,Delcy Eloína Rodriguez Gómez,Q28706262,"Minister of Economy, Finance and Foreign Trade",2020-09-10,,734,,Q15081116-b8a19ab0-4de7-3818-b90f-1bac2a9e014d
Q15081116,Delcy Eloína Rodriguez Gómez,Q3556895,Executive Vice-President,2018-06-14,,734,,Q15081116-e40dfa7d-4cb9-b84f-2544-6ab974448823
Q16301804,Rodolfo Clemente Marco Torres,Q114606615,Minister of Water Care,2021-09-17,,734,,Q16301804-105CF67B-742A-48A3-B36C-248A801A65D0
Q19519696,Gen. Vladimir Padrino López,Q113578049,"Vice-President of Political Sovereignty, Security and Peace and Minister of Defence",2014-09-03,,734,,Q19519696-FEBEFA75-EC25-475E-80CA-80612837369F
