ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q23922103,Q23922103,,,,,,,,,,,,,,,,
,Q23922105,Q23922105,,,,,,,,,,,,,,,,
,Q23922108,Q23922108,,,,,,,,,,,,,,,,
,Q23922112,Q23922112,,,,,,,,,,,,,,,,
,Q23922115,Q23922115,,,,,,,,,,,,,,,,
,Q23922090,Q23922090,1887-01-01,9,,,1888-01-01,9,,,,,,,,,,
,Q23922092,Q23922092,1899-01-01,9,,,1908-01-01,9,,,,,,,,,,
,Q23922095,Q23922095,1935-01-01,9,,,1941-01-01,9,,,,,,,,,,
,Q23922097,Q23922097,1941-01-01,9,,,1945-01-01,9,,,,,,,,,,
,Q23922073,Q23922073,1948-02-01,10,,,1948-11-01,10,,,,,,,,,,
,Q23922100,Q23922100,1952-01-01,9,,,1958-01-01,9,,,,,,,,,,
,Q23922076,Q23922076,1964-01-01,9,,,1969-01-01,9,,,,,,,,,,
,Q23922078,Q23922078,1969-01-01,9,,,1974-01-01,9,,,,,,,,,,
,Q23922082,Q23922082,1974-01-01,9,,,1979-01-01,9,,,,,,,,,,
,Q8911,Cabinet of Hugo Chávez,1999-02-02,11,,,,,,,,,,,,,,
,Q111722162,Second government of Nicolás Maduro,2019-01-10,11,,,,,,,,,,,,,,
